"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"d:\vue\bbs\src\App.vue", "vue", 55, 0, 1, -3, 53
"d:\vue\bbs\src\components\dev.vue", "vue", 0, 0, 0, 1, 1
"d:\vue\bbs\src\components\error.vue", "vue", 51, 0, 0, 6, 57
"d:\vue\bbs\src\components\login.vue", "vue", -94, 0, 0, -9, -103
"d:\vue\bbs\src\components\me.vue", "vue", -47, 0, 0, -6, -53
"d:\vue\bbs\src\components\newpost.vue", "vue", 120, 0, 0, 8, 128
"d:\vue\bbs\src\components\preview.vue", "vue", -5, 0, 0, 0, -5
"d:\vue\bbs\src\components\read.vue", "vue", 18, 0, 0, -1, 17
"d:\vue\bbs\src\components\reg.vue", "vue", -85, 0, 0, -8, -93
"d:\vue\bbs\src\components\spt.vue", "vue", 14, 0, 0, 6, 20
"d:\vue\bbs\src\components\tags\login.vue", "vue", 100, 0, 0, 8, 108
"d:\vue\bbs\src\components\tags\me.vue", "vue", 64, 0, 0, 7, 71
"d:\vue\bbs\src\components\tags\reg.vue", "vue", 91, 0, 0, 8, 99
"d:\vue\bbs\src\components\top.vue", "vue", -32, 0, 0, -5, -37
"d:\vue\bbs\src\main.js", "JavaScript", 0, 0, 4, 0, 4
"d:\vue\bbs\src\router\index.js", "JavaScript", 0, 20, 0, 0, 20
"d:\vue\bbs\src\views\Home.vue", "vue", -1, 0, 0, 0, -1
"d:\vue\bbs\src\views\Theme.vue", "vue", 104, 0, 0, 4, 108
"d:\vue\bbs\src\views\Themes.vue", "vue", 82, 0, 0, 7, 89
"d:\vue\bbs\src\vue.config.js", "JavaScript", 0, 12, 1, 1, 14
"Total", "-", 435, 32, 6, 24, 497